English;German
to drink, drinks, has drunk;trinken, trinkt, hat getrunken
to drink, have drunk;trinken, haben getrunken
to drink, I have drunk;trinken,ich habe getrunken
to drive a car;mit dem Auto fahren
to drive away;wegfahren
to drive away, drives away, has driven away;wegfahren, fährt weg, ist weggefahren
to drive away/leave;wegfahren
to drive straight ahead;geradeaus fahren
to drive through the long tunnel;durch den langen Tunnel fahren
to drive, to travel, to go (by vehicle);fahren
to drive/travel;fahren
to drive/travel, drives, has driven;fahren, fährt, ist gefahren
to drive/travel, I have driven;fahren, ich bin gefahren
to drop off a parcel;ein Paket abgeben
to earn;verdienen
to eat;essen
to eat little;wenig essen
to eat, eats, has eaten;essen, isst, hat gegessen
to eat, have eaten;essen, haben gegessen
to eat, I have eaten;essen, ich habe gegessen
to eat, to nourish oneself (focus on diet);sich ernähren
to end;enden
to end/quit;beenden
to enter/register, enters, has entered;eintragen, trägt ein, hat eingetragen
to examine;untersuchen
to examine/investigate;untersuchen
to exchange rings;Ringe tauschen
to excuse/apologize;entschuldigen
to experience;erleben
to explain;erklären
to explain again;noch einmal erklären
to extend a visa;Visum verlängern
to extend, to renew;verlängern
to extend/renew;verlängern
to fail/be canceled, fails, has failed;ausfallen, fällt aus, ist ausgefallen
to fall;fallen
to fall asleep;einschlafen
to fall asleep, falls asleep, has fallen asleep;einschlafen, schläft ein, ist eingeschlafen
to fall asleep, I have fallen asleep;einschlafen, ich bin eingeschlafen
to fall in love;sich verlieben
to fall, to drop;sinken
to feed;füttern
to feel;sich fühlen
to feel comfortable;sich wohlfühlen
to feel like/want to;Lust haben
to fill out;ausfüllen
to fill out a form;ein Formular ausfüllen
to fill out forms;Formulare ausfüllen
to finance;finanzieren
to find;finden
to find - How do you like...?;finden - Wie findest du ...?
to find - The street is easy to find;finden - Die Straße kann man einfach finden
to find quite easily;ganz einfach finden
to find, finds, has found;finden, findet, hat gefunden
to fit;passen
to fit/suit;passen
to fly;fliegen
to fly, flies, has flown;fliegen, fliegt, ist geflogen
to forget;vergessen
to forget, forgets, has forgotten;vergessen, vergisst, hat vergessen
to gain experience;Erfahrungen machen
to gain weight;zunehmen
to get dressed/pull;anziehen
to get good things cheaply;gute Sachen billig bekommen
to get involved, to commit oneself;sich engagieren
to get married;heiraten
to get to know each other;sich kennenlernen
to get to know, to meet (people);kennenlernen
to get to know/meet;kennenlernen
to get up;aufstehen
to get up, gets up, has gotten up;aufstehen, steht auf, ist aufgestanden
to get up, stand up;aufstehen
to get/fetch;holen
to get/receive;bekommen
to get/receive, gets, has gotten;bekommen, bekommt, hat bekommen
to give;geben
to give - there is/are;geben - es gibt
to give (as a gift);schenken
to give, gives, has given;geben, gibt, hat gegeben
to go;gehen
to go - How are you?;gehen - Wie geht es Ihnen?
to go - She leaves the house;gehen - Sie geht aus dem Haus
to go - The course goes until 12 o'clock;gehen - Der Kurs geht bis 12 Uhr
to go - The light doesn't work;gehen - Das Licht geht nicht
to go - Yes, that works;gehen - Ja, das geht
to go for a little walk in the park;bisschen im Park spazieren gehen
to go for a walk;spazieren gehen
to go on foot/walk;zu Fuß gehen
to go out;ausgehen
to go out, goes out, has gone out;ausgehen, geht aus, ist ausgegangen
to go shopping;einkaufen gehen
to go swimming;schwimmen gehen
to go to sleep early;früh schlafen
to go, have gone;gehen, sind gegangen
to go, I have gone;gehen, ich bin gegangen
to go/walk;gehen
to go/walk, goes, has gone;gehen, geht, ist gegangen
to greet, to welcome;begrüßen
to grow;wachsen
to hand in;abgeben
to hand in, hands in, has handed in;abgeben, gibt ab, hat abgegeben
to hang up;auflegen
to hang, to be hanging;hängen
to happen;passieren
to harm, to damage;schaden
to have;haben
to have (something done), to let;lassen
to have a bit of rain;bisschen Regen geben
to have a long breakfast;lange frühstücken
to have breakfast;frühstücken
to have courage/be brave;Mut haben
to have good/bad memories;gute/schlechte Erinnerungen haben
to have lunch;zu Mittag essen
to have peace and quiet;Ruhe haben
to have right of way;Vorfahrt haben
to have time;Zeit haben
to have with oneself;dabeihaben
to have worries, to be worried;Sorgen haben
to have, has, has had;haben, hat, hat gehabt
to hear;hören
to hear, to listen to;hören
to help;helfen
to help each other;sich gegenseitig helfen
to help, helps, has helped;helfen, hilft, hat geholfen
to hike;wandern
to hike around the beautiful lake;um den schönen See wandern
to hike in the mountains;Bergen wandern
to honk;hupen
to hope;hoffen
to hurt/ache;wehtun
to hurt/ache, hurts, has hurt;wehtun, tut weh, hat wehgetan
to inform oneself (about), to get information (on);sich informieren (über)
to inform, to let someone know;Bescheid sagen
to insert (e.g., coins), to throw in;einwerfen
to install;installieren
to introduce, to imagine;vorstellen
to introduce/imagine;vorstellen
to invest, to set up (e.g., an account);anlegen
to invite, invites, has invited;einladen, lädt ein, hat eingeladen
to iron;bügeln
to jog;joggen
to jog, go jogging;joggen
to kiss each other;sich küssen
to know;wissen
to know (be acquainted with);kennen
to know (be acquainted with), knows, has known;kennen, kennt, hat gekannt
to know (fact);wissen
to know (facts), knows, has known;wissen, weiß, hat gewusst
to last;dauern
to laugh;lachen
to lay, to put down (horizontal);legen
to laze about, to be idle;faulenzen
to laze around;faulenzen
to laze around/relax;faulenzen
to learn;lernen
to learn by heart/memorize;auswendig lernen
to learn, to study;lernen
to leave a message;eine Nachricht hinterlassen
to leave behind, to leave (a message);hinterlassen
to leave/abandon;verlassen
to lie down;liegen
to lie, to be located (horizontal);liegen
to lie, to be situated;liegen
to lie/be located;liegen
to lie/be located, lies, has lain;liegen, liegt, hat gelegen
to like;mögen
to like, likes, has liked;mögen, mag, hat gemocht
to like/please;gefallen
to listen to music;Musik hören
to listen to the radio;Radio hören
to live;leben
To live healthily;Gesund leben
to live in the big city;in der Großstadt leben
to live in the city;in der Stadt leben
to live in the country;auf dem Land leben
to live in the countryside;auf dem Land leben
to live in the small town;in der Kleinstadt leben
to live, have lived;wohnen, haben gewohnt
to live/reside;wohnen
to look forward (to) / to be happy (about);sich freuen (auf/über)
to look/appear;aussehen
to look/appear, looks, has looked;aussehen, sieht aus, hat ausgesehen
to look/watch;gucken
to lose;verlieren
to lose weight;abnehmen
to love;lieben
to make/play music;Musik machen
to manage/achieve/create;schaffen
to marry;heiraten
to mean;bedeuten
to mean/think;meinen
to measure;messen
to measure blood pressure;den Blutdruck messen
to measure fever;Fieber messen
to measure, measures, has measured;messen, misst, hat gemessen
to meet;treffen
to meet friends;Freunde treffen
to meet neighbors in the stairwell;im Treppenhaus Nachbarn treffen
to meet, meets, has met;treffen, trifft, hat getroffen
to miss (a person or thing);vermissen
to motivate;motivieren
to move (residence);umziehen
to move (residence), moves, has moved;umziehen, zieht um, ist umgezogen
to move out;ausziehen
to move, to exercise;sich bewegen
to name/call;nennen
to name/call, names, has named;nennen, nennt, hat genannt
to need;brauchen
to note, to pay attention to, to observe;beachten
to notice;merken
to offer;anbieten
to open;öffnen
to open (an account);eröffnen
to operate;operieren
to order;bestellen
to pack;packen
to paint;malen
to paint a picture;ein Bild malen
to paint, to apply (paint);streichen
to park;parken
to park bicycles;Fahrräder abstellen
to participate (in);teilnehmen (an)
to pass (an exam);bestehen
to pass on a message;etwas ausrichten
to pay;bezahlen
to pay attention (here: yield right of way);achten
to pay with EC card (debit card);EC-Karte bezahlen
to pick up;abholen
to pick up (someone/something);abholen
to pick up a parcel;ein Päckchen abholen
to place, to put (vertical);stellen
to place: to submit an application pen;stellen: einen Antrag stellen Stift
to place/put;stellen
to plan;planen
to play;spielen
to play a dice game;ein Würfelspiel spielen
to play cards;Karten spielen
to play in the sandbox;im Sandkasten spielen
to play soccer;Fußball spielen
to play volleyball;Volleyball spielen
to please/like;gefallen
to please/like, pleases, has pleased;gefallen, gefällt, hat gefallen
to postpone an appointment;einen Termin verschieben
to practice/exercise;üben
to prepare;vorbereiten
to prescribe;verschreiben
to press;drücken
to print;drucken
to process/edit;bearbeiten
to pull, to move, to put on (clothes in some contexts);ziehen
to put on (clothes), to attract;anziehen
to put on/get dressed;anziehen
to put on/get dressed, puts on, has put on;anziehen, zieht an, hat angezogen
to rain;regnen
to read;lesen
to read a book;ein Buch lesen
to read addresses poorly;Adressen schlecht lesen
to read, I have read;lesen, ich habe gelesen
to read, reads, has read;lesen, liest, hat gelesen
to recognize, to acknowledge;anerkennen
to recommend;empfehlen
to register;anmelden
to register a car;Auto anmelden
to register a new address;Wohnung anmelden
to register and deregister;anmelden und abmelden
to register, to enroll (for);sich anmelden (für)
to relax;sich entspannen
to rely on, to depend on;sich verlassen auf
to remember;sich erinnern
to renovate, to refurbish;renovieren
to rent;mieten
to rent out, to let;vermieten
to repair;reparieren
to repeat after/echo;nachsprechen
to report;berichten
to research on the internet;im Internet recherchieren
to reserve;reservieren
to retain/remember new words;neue Wörter behalten
to ride a bike;mit dem Rad fahren
to ride the elevator;mit dem Aufzug fahren
to ring;klingeln
to run (quickly);rennen
to run/play: the radio is playing;laufen: das Radio läuft
to run/walk;laufen
to run/walk, runs, has run;laufen, läuft, ist gelaufen
to save/store;speichern
to say, to tell;sagen
to say/tell;sagen
to search, to look for;suchen
to search/look for;suchen
to see;sehen
to see the display board;Anzeigetafel sehen
to see, have seen;sehen, haben gesehen
to see, I have seen;sehen, ich habe gesehen
to see, sees, has seen;sehen, sieht, hat gesehen
to seem/shine;scheinen
to seem/shine, seems, has seemed;scheinen, scheint, hat geschienen
to select/choose;auswählen
to sell;verkaufen
to send;schicken
to send off/submit;abschicken
to separate, to break up;sich trennen
to separate, to divide;trennen
to sew;nähen
to share;teilen
to shop;einkaufen
to shop, to go shopping;einkaufen
to show;zeigen
to sign;unterschreiben
to sign, signs, has signed;unterschreiben, unterschreibt, hat unterschrieben
to sing karaoke;Karaoke singen
to sit;sitzen
to sit on the bench;auf der Bank sitzen
to sit, have sat;sitzen, haben gesessen
to sit, sits, has sat;sitzen, sitzt, hat gesessen
to sleep;schlafen
to sleep, I have slept;schlafen, ich habe geschlafen
to sleep, sleeps, has slept;schlafen, schläft, hat geschlafen
to smell;riechen
to smell, smells, has smelled;riechen, riecht, hat gerochen
to smile;lächeln
to snow;schneien
to speak;sprechen
to speak (about);sprechen (über)
to speak, he speaks;sprechen, er spricht
to speak, speaks, has spoken;sprechen, spricht, hat gesprochen
to spell;buchstabieren
to spend (time);verbringen
to spend so much money;so viel Geld ausgeben
to spend together;gemeinsam verbringen
to stand;stehen
to stand out, to be noticeable;auffallen
to stand, stands, has stood;stehen, steht, hat gestanden
to stand, to be standing;stehen
to start;starten
to start, to begin;anfangen
to stay;bleiben
to stay a little while;bisschen bleiben
to stay at home;zu Hause bleiben
to stay in bed;im Bett bleiben
to stay overnight;übernachten
to stay, I have stayed;bleiben, ich bin geblieben
to stay/remain;bleiben
to stay/remain, stays, has stayed;bleiben, bleibt, ist geblieben
to stick together through thick and thin;durch dick und dünn gehen
to stick together, to hold together;zusammenhalten
to stop;anhalten
to stop, stops, has stopped;anhalten, hält an, hat angehalten
to stop, to quit;aufhören
to study (at university);studieren
To submit an application;Einen Antrag stellen
to suggest;vorschlagen
to supervise children;Kinder betreuen
to supervise/care for;betreuen
to support;unterstützen
to surf the internet;im Internet surfen
to swim;schwimmen
to swim, swims, has swum;schwimmen, schwimmt, ist geschwommen
to take;nehmen
to take (medicine);einnehmen
to take a blood sample;Blut abnehmen
to take a pill;Tablette nehmen
to take a seat;Platz nehmen
to take a waiting number / ticket;Wartenummer ziehen
to take along;mitnehmen
to take along, takes along, has taken along;mitnehmen, nimmt mit, hat mitgenommen
to take care of, to look after;kümmern (sich)
to take photographs;fotografieren
to take place;stattfinden
to take place, takes place, has taken place;stattfinden, findet statt, hat stattgefunden
to take tablets/pills;Tabletten nehmen
to take, takes, has taken;nehmen, nimmt, hat genommen
to talk;reden
to talk on the phone (with);telefonieren (mit)
to talk with friends;mit Freunden reden
to talk, to speak;reden
to talk/speak;reden
to taste;schmecken
to telephone/call;telefonieren
to tell (a story);erzählen
to tell, to narrate;erzählen
to tell/narrate;erzählen
to thank;danken
to the airport;zum Flughafen
to the bus station;zum Busbahnhof
to the department stores;in die Kaufhäuser
to the harbor/port;zum Hafen
to the left;nach links
to the right;nach rechts
to the stop (bus/tram);zur Haltestelle
to the subway station;zur U-Bahnstation
to the train station;zum Bahnhof
to there, thither;dorthin
to think;denken
to think (of, about);denken (an)
to throw rice;Reis werfen
to tidy up;aufräumen
to tidy up, to clean up;aufräumen
to train, to work out;trainieren
to transfer;überweisen
to transfer (money);überweisen
to transfer (money), transfers, has transferred;überweisen, überweist, hat überwiesen
to transfer the membership fee;Mitgliedsbeitrag überweisen
to transport;transportieren
to travel;reisen
to travel, have traveled;fahren, sind gefahren
to trust;vertrauen
to try on;anprobieren
to try on (clothes);anprobieren
to try out/test;ausprobieren
to try/taste;probieren
to turn;abbiegen
to turn off, switch off;ausschalten
to turn off, turns off, has turned off;abbiegen, biegt ab, ist abgebogen
to turn off/park;abstellen
to turn on, switch on;einschalten
to turn on/flirt;anmachen
to turn right;nach rechts abbiegen
to understand;verstehen
to understand each other, to get along;sich verstehen
to understand everything;alles verstehen
to understand, understands, has understood;verstehen, versteht, hat verstanden
to undertake, to do (an activity);unternehmen
to use;benutzen
to vaccinate (against);impfen (gegen)
to visit;besuchen
to visit, to tour (sights);besichtigen
to visit/inspect;besichtigen
to wait;warten
to wait (for);warten (auf)
to wait a long time;lange warten
to wake up;aufwachen
to walk around;rumlaufen
to walk on foot;zu Fuß laufen
to walk, to run;laufen
to walk/run in the street;Straße laufen
to wallpaper;tapezieren
to want;wollen
to watch a film;einen Film sehen
to watch television;fernsehen
to watch TV;fernsehen
to watch TV, I have watched TV;fernsehen, ich habe ferngesehen
to watch TV, watches TV, has watched TV;fernsehen, sieht fern, hat ferngesehen
to water flowers;Blumen gießen
to water/pour;gießen
to water/pour, waters, has watered;gießen, gießt, hat gegossen
to wear, to carry;tragen
to wear/carry;tragen
to wear/carry, wears, has worn;tragen, trägt, hat getragen
to whom does ... belong?;wem gehört..?
to withdraw (cash);abheben
to work;arbeiten
to work full-time;in Vollzeit arbeiten
to work out, to succeed;klappen
to work part-time;in Teilzeit arbeiten
to work together, to collaborate;zusammenarbeiten
to work/function;funktionieren
to write;schreiben
to write, read and do arithmetic;schreiben, lesen und rechnen
to write, writes, has written;schreiben, schreibt, hat geschrieben
to yield/give right of way;Vorfahrt achten
to zero to one degree;auf null bis ein Grad
to: to Berlin/home;nach: nach Berlin/nach Hause
to. to serve;zu. bedienen
to/quarter to - quarter to seven;vor - Viertel vor sieben
today;heute
together;zusammen
Together or separately?;Zusammen oder getrennt?
together, joint;gemeinsam
together, jointly;gemeinsam
toilet, water closet;das WC, -s
toilet/bathroom;Toilette
tomato;die Tomate
Tomato, Butter, Cheese, Milk;Tomate, Butter, Käse, Milch
tomorrow;morgen
ton;Tonne
too - too long;zu - zu lang
too bad / what a pity;Schade
too bad, a pity;schade
too much;zu viel
too short;zu kurz
took part once and it was indeed very boring;einmal dabei und es war doch sehr langweilig
toothache;die Zahnschmerzen, Pl
toothbrush;die Zahnbürste, -n
toothpaste;Zahnpasta
Topic;Thema
total price;Gesamtpreis
totally awful;ganz furchtbar
tour, guided walk;der Rundgang, -¨e
tourism;der Tourismus, Sg.
tourist;Tourist
towel;das Handtuch, -¨er
town hall;Rathaus
track/platform;Gleis
tractors;Traktoren
trade office, business registration office;das Gewerbeamt, -¨er
traffic;Verkehr
traffic information, travel advisory;Verkehrshinweis
traffic jam;der Stau, -s
traffic lessons, road safety education;Verkehrsunterricht
traffic light;Ampel
train discount card;Bahncard
train station;Bahnhof
training, apprenticeship;die Ausbildung, -en
tram/streetcar;Straßenbahn
transfer form;Überweisungsformular
transfer/bank transfer;Überweisung
travel agency;Reisebüro
travel destination;das Reiseziel, -e
travel document;das Reisedokument, -e
travel guide (book or person);der Reiseführer, -
travel offer;Reiseangebot
travel time, journey time;die Reisezeit, Sg.
traveled by ship;sind mit dem Schiff gefahren
traveler;der/die Reisende, -n
Traveling by train;Unterwegs mit dem Zug
tree;Baum
tried on;anprobiert
trip abroad;Auslandsreise
trip/journey;Fahrt
truck (lastkraftwagen);Lkw
truck, lorry;Lkw
trumpet;Trompete
Tuesday;Dienstag
Tuesday afternoon;Dienstagnachmittag
Tuesday evening;Dienstagabend
Tuesday morning;Dienstagvormittag
tunnel;Tunnel
tutoring, extra lessons;die Nachhilfe, Sg.
twenty past;zwanzig nach
twenty to;zwanzig vor
two hours;zwei Stunden
typical;typisch
